loss,accuracy,val_loss,val_accuracy,trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,sample_no,mean_late_val_acc,epoch
0.914,0.498,0.692,0.532,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,1
0.695,0.526,0.675,0.571,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,2
0.602,0.67,0.746,0.59,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,3
0.437,0.794,0.985,0.601,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,4
0.299,0.881,1.088,0.596,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,5
0.209,0.924,1.574,0.611,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,6
0.175,0.942,1.617,0.613,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,7
0.16,0.951,2.086,0.613,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,8
0.156,0.951,1.888,0.591,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,9
0.143,0.957,1.79,0.618,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,10
0.143,0.956,2.344,0.613,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,11
0.144,0.958,1.862,0.612,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,12
0.139,0.96,1.582,0.611,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,13
0.131,0.961,2.008,0.616,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,14
0.137,0.959,2.061,0.634,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,15
0.133,0.962,2.418,0.608,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,16
0.128,0.963,1.703,0.622,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,17
0.142,0.959,1.557,0.61,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,18
0.146,0.957,2.151,0.616,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,19
0.132,0.962,2.033,0.614,0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,rotate,0.0,1,0.564,20
0.999,0.505,0.693,0.496,1,add-to-hue-and-saturation,0.844,super-pixels,0.847,coarse-salt-pepper,0.384,emboss,0.057,sharpen,0.478,histogram-equalize,0.48,dropout,0.836,additive-gaussian-noise,0.648,dropout,0.957,shear,0.87,1,0.553,1
0.694,0.5,0.693,0.496,1,add-to-hue-and-saturation,0.844,super-pixels,0.847,coarse-salt-pepper,0.384,emboss,0.057,sharpen,0.478,histogram-equalize,0.48,dropout,0.836,additive-gaussian-noise,0.648,dropout,0.957,shear,0.87,1,0.553,2
0.694,0.505,0.693,0.495,1,add-to-hue-and-saturation,0.844,super-pixels,0.847,coarse-salt-pepper,0.384,emboss,0.057,sharpen,0.478,histogram-equalize,0.48,dropout,0.836,additive-gaussian-noise,0.648,dropout,0.957,shear,0.87,1,0.553,3
0.694,0.497,0.693,0.496,1,add-to-hue-and-saturation,0.844,super-pixels,0.847,coarse-salt-pepper,0.384,emboss,0.057,sharpen,0.478,histogram-equalize,0.48,dropout,0.836,additive-gaussian-noise,0.648,dropout,0.957,shear,0.87,1,0.553,4
